"","ViewYes","ViewN","Notice","Comments","Control","Age","Gender","Handedness","NativeLanguage","Gesture","Language","IP","Response","StartTime","EndTime","ViewCount","MultipleView","GesturePlot"
"39","Yes","1","Definitely yes","the person spoke in a weird tone",13,"40","male","right-handed","english","backward","forward language","98.91.0.68","Monday","22/03/2017 09:26","22/03/2017 09:28",1,"single","backward gesture"
"40","Yes","1","Definitely yes","he said forward but his hand gesture suggests backwards",13,"30","female","right-handed","english","backward","forward language","74.232.62.43","Monday","22/03/2017 09:42","22/03/2017 09:43",1,"single","backward gesture"
"41","Yes","2","Definitely yes",NA,13,"27","male","right-handed","english","backward","backward language","50.134.223.77","Monday","22/03/2017 09:46","22/03/2017 09:47",2,"multiple","backward gesture"
"42","Yes","1","Definitely yes","The person moved their hand back towards them to show the meeting being moved backwards 2 days.",13,"45","female","left-handed","English","backward","backward language","68.206.234.129","Friday","22/03/2017 09:46","22/03/2017 09:47",1,"single","backward gesture"
"43","Yes","1","Definitely yes",NA,13,"31","female","right-handed","English","backward","forward language","50.244.162.49","Friday","22/03/2017 09:46","22/03/2017 09:48",1,"single","backward gesture"
"44","Yes","twice","Definitely yes","I had to listen twice because of his accent. I just wanted to make sure I heard him correctly.",13,"46","male","ambidextrous","English","forward","backward language","73.100.32.214","Monday","22/03/2017 09:49","22/03/2017 09:52",2,"multiple","forward gesture"
"45","Yes","1","Definitely yes","The gesture and what he said seemed to contradict to me, at least as I understood it.",13,"49","male","right-handed","English","backward","forward language","23.127.177.105","Monday","22/03/2017 09:52","22/03/2017 09:56",1,"single","backward gesture"
"46","Yes","1","Definitely yes","The guy gestured his hand forward as he said ""backward"" which threw me off a little (probably the point?).",13,"31","male","left-handed","English","forward","backward language","68.107.115.3","Monday","22/03/2017 10:05","22/03/2017 10:06",1,"single","forward gesture"
"47","Yes","1","Definitely yes","No.",13,"25","female","right-handed","English","forward","forward language","72.49.33.26","Monday","22/03/2017 11:10","22/03/2017 11:11",1,"single","forward gesture"
"48","Yes","1","Definitely yes","no",13,"55","male","right-handed","english","backward","backward language","73.244.199.117","Monday","22/03/2017 11:21","22/03/2017 11:22",1,"single","backward gesture"
"49","Yes","2","Definitely yes","no",13,"52","male","right-handed","English","backward","forward language","75.120.142.146","Monday","22/03/2017 11:20","22/03/2017 11:23",2,"multiple","backward gesture"
"50","Yes","1","Definitely yes",NA,13,"23","male","right-handed","English","forward","forward language","68.202.116.132","Monday","22/03/2017 11:25","22/03/2017 11:27",1,"single","forward gesture"
"51","Yes","1","Definitely yes","No problem, thanks!",13,"37","male","right-handed","English","backward","backward language","12.204.222.254","Friday","22/03/2017 11:26","22/03/2017 11:32",1,"single","backward gesture"
"52","Yes","2","Definitely yes","He is a bit odd. Is he from a different planet?",13,"61","male","right-handed","English","forward","forward language","70.168.7.208","Monday","22/03/2017 09:46","22/03/2017 09:49",2,"multiple","forward gesture"
"53","Yes","1","Definitely yes",NA,13,"23","male","right-handed","English","forward","forward language","129.120.84.108","Monday","22/03/2017 11:10","22/03/2017 11:13",1,"single","forward gesture"
"54","Yes","2","Definitely yes","None",13,"31","male","right-handed","English","backward","backward language","50.175.164.192","Monday","22/03/2017 09:25","22/03/2017 09:26",2,"multiple","backward gesture"
"55","Yes","1","Definitely yes",NA,13,"31","female","right-handed","English","forward","forward language","50.102.65.230","Monday","22/03/2017 12:42","22/03/2017 12:44",1,"single","forward gesture"
"56","Yes","one","Definitely yes","I thought the gesture indicated that it was Monday, but ultimately felt that was ridiculous (people universally say ""moved forwards"" to indicate such a change.)",13,"23","male","right-handed","English","backward","backward language","73.132.86.105","Friday","22/03/2017 12:51","22/03/2017 12:53",1,"single","backward gesture"
"57","Yes","1","Definitely yes",NA,13,"28","male","right-handed","English","backward","backward language","104.228.143.186","Monday","22/03/2017 12:57","22/03/2017 12:58",1,"single","backward gesture"
"58","Yes","1","Definitely yes","It was awkward seeing him move backward but saying forward",13,"37","female","right-handed","English","backward","forward language","50.25.67.183","Monday","22/03/2017 12:56","22/03/2017 12:59",1,"single","backward gesture"
"59","Yes","1","Definitely yes","Their delivery was odd and they had an accent that I couldn't quite identify. Not that that's a negative, just what I observed.",13,"42","male","right-handed","English","backward","forward language","50.139.148.122","Monday","22/03/2017 13:00","22/03/2017 13:02",1,"single","backward gesture"
"60","Yes","1","Definitely yes","I'm not sure why he was holding his open hand out.",13,"54","female","right-handed","English","backward","forward language","68.2.67.191","Friday","22/03/2017 13:05","22/03/2017 13:07",1,"single","backward gesture"
"61","Yes","1","Definitely yes","No",13,"23","female","right-handed","English, Vietnamese","forward","backward language","104.244.222.78","Monday","22/03/2017 13:04","22/03/2017 13:07",1,"single","forward gesture"
"62","Yes","1","Definitely yes","None",13,"27","male","right-handed","English","backward","forward language","104.174.223.0","Monday","22/03/2017 13:05","22/03/2017 13:07",1,"single","backward gesture"
"63","Yes","1","Definitely yes","He was a young white man with short hair.",13,"24","male","right-handed","English","forward","forward language","24.93.137.110","Friday","22/03/2017 13:05","22/03/2017 13:08",1,"single","forward gesture"
"64","Yes","1","Definitely yes",NA,13,"20","female","right-handed","english","backward","backward language","192.5.215.225","Monday","22/03/2017 13:08","22/03/2017 13:09",1,"single","backward gesture"
"65","Yes","1","Definitely yes",NA,13,"43","male","right-handed","english","forward","forward language","24.225.84.65","Monday","22/03/2017 13:10","22/03/2017 13:11",1,"single","forward gesture"
"66","Yes","1","Definitely yes","Wednesday's meeting moved to Friday.",13,"38","female","left-handed","English","forward","forward language","76.203.193.126","Friday","22/03/2017 09:24","22/03/2017 09:26",1,"single","forward gesture"
"67","Yes","1","Definitely yes","I was a bit confused on why he moved his hand forward when he was saying that the meeting was moved back.",13,"34","female","right-handed","english","forward","backward language","73.64.44.32","Monday","22/03/2017 09:46","22/03/2017 09:47",1,"single","forward gesture"
"68","Yes","1","Definitely yes","This was great!",13,"30","male","right-handed","English","forward","backward language","199.227.131.146","Monday","22/03/2017 11:25","22/03/2017 11:26",1,"single","forward gesture"
"69","Yes","1","Definitely yes","The person had his hand out in front of him.",13,"29","male","right-handed","English","backward","forward language","24.12.154.253","Monday","22/03/2017 09:25","22/03/2017 09:26",1,"single","backward gesture"
"70","Yes","1","Definitely yes","he had his arm bent in like he was serious",13,"37","male","right-handed","english","backward","forward language","50.38.109.119","Friday","22/03/2017 13:28","22/03/2017 13:30",1,"single","backward gesture"
"71","Yes","1","Definitely yes","n/a",13,"35","male","right-handed","english","backward","backward language","72.208.193.156","Monday","22/03/2017 13:30","22/03/2017 13:32",1,"single","backward gesture"
"72","Yes","1","Definitely yes","I really wasn't sure whether he meant two days earlier or later.  I guess I'd normally take ""forward"" to mean earlier.  Not sure whether the hand gesture added to that feeling or detracted from it, since it was coming at me (to suggest earlier), but it was coming from the guy, so maybe he was doing it in relation to himself.  Also, I only watched the video once and didn't 100% remember if he said Wednesday meeting or Thursday meeting (I was distracted by his strange posture).  Either way I wanted my answer to be two days earlier, so either Monday or Tuesday, depending on what the original day was.",13,"39","male","right-handed","English","forward","forward language","24.225.119.55","Monday","22/03/2017 13:29","22/03/2017 13:33",1,"single","forward gesture"
"73","Yes","1","Definitely yes","He had an accent",13,"40","male","right-handed","english","forward","backward language","73.204.38.204","Monday","22/03/2017 13:32","22/03/2017 13:33",1,"single","forward gesture"
"74","Yes","1","Definitely yes","He said ""forward"" and gestured, that it would be going in front of him; kind of seems misleading as the wording means it was moved to Monday, but his gesture makes me think its being 'pushed' to Friday.",13,"28","male","left-handed","English","forward","forward language","50.248.157.1","Monday","22/03/2017 13:32","22/03/2017 13:34",1,"single","forward gesture"
"75","Yes","2","Definitely yes","The man moved his hand forward when speaking",13,"29","female","ambidextrous","English","forward","backward language","174.21.235.135","Monday","22/03/2017 13:29","22/03/2017 13:36",2,"multiple","forward gesture"
"76","Yes","1","Definitely yes",NA,13,"26","male","right-handed","english","backward","backward language","208.78.251.48","Friday","22/03/2017 14:50","22/03/2017 14:51",1,"single","backward gesture"
"77","Yes","1","Definitely yes","He moved his hand forward",13,"29","male","right-handed","English","forward","backward language","173.175.168.39","Monday","22/03/2017 14:53","22/03/2017 14:54",1,"single","forward gesture"
"78","Yes","2","Definitely yes","None",13,"26","male","right-handed","English","backward","backward language","47.211.101.42","Monday","22/03/2017 14:57","22/03/2017 14:58",2,"multiple","backward gesture"
"79","Yes","1","Definitely yes",NA,13,"35","female","right-handed","English","backward","forward language","216.47.56.214","Friday","22/03/2017 14:59","22/03/2017 15:00",1,"single","backward gesture"
"80","Yes","2","Definitely yes",NA,13,"37","male","right-handed","English","forward","backward language","75.110.63.56","Friday","22/03/2017 15:11","22/03/2017 15:13",2,"multiple","forward gesture"
"81","Yes","1","Definitely yes",NA,13,"24","female","right-handed","english","forward","backward language","74.222.112.125","Monday","22/03/2017 12:44","22/03/2017 12:45",1,"single","forward gesture"
"82","Yes","1","Definitely yes","He was speaking a little slow",13,"23","male","right-handed","English","forward","forward language","45.36.161.66","Monday","22/03/2017 12:45","22/03/2017 12:46",1,"single","forward gesture"
"83","Yes","1","Definitely yes","interesting looking guy",13,"26","male","right-handed","English","backward","forward language","98.237.133.19","Monday","22/03/2017 12:41","22/03/2017 12:42",1,"single","backward gesture"
"84","Yes","1","Definitely yes","the forwards gesture was towards him, which was kind of weird.",13,"26","male","left-handed","English","backward","forward language","76.94.166.195","Friday","22/03/2017 12:42","22/03/2017 12:43",1,"single","backward gesture"
"85","Yes","1","Definitely yes","I was asked what day of the week was the meeting rescheduled to which was 2 days prior to WEDS",13,"27","male","right-handed","english","backward","backward language","108.237.50.190","Monday","22/03/2017 12:41","22/03/2017 12:44",1,"single","backward gesture"
"86","Yes","1","Definitely yes","no",13,"47","female","right-handed","english","forward","backward language","108.185.235.3","Monday","22/03/2017 13:10","22/03/2017 13:13",1,"single","forward gesture"
"87","Yes","1","Definitely yes",NA,13,"36","male","right-handed","english","backward","backward language","67.184.217.144","Monday","22/03/2017 13:28","22/03/2017 13:30",1,"single","backward gesture"
"88","Yes","1","Definitely yes",NA,13,"38","female","right-handed","English","forward","backward language","184.16.122.253","Friday","22/03/2017 13:29","22/03/2017 13:31",1,"single","forward gesture"
"89","Yes","1","Definitely yes",NA,13,"23","female","right-handed","English","forward","forward language","24.249.126.45","Monday","22/03/2017 14:52","22/03/2017 14:53",1,"single","forward gesture"
"90","Yes","2","Definitely yes",NA,13,"34","male","right-handed","English","backward","backward language","74.110.161.128","Monday","22/03/2017 13:06","22/03/2017 13:07",2,"multiple","backward gesture"
"91","Yes","1","Definitely yes","it seemed kinda odd",13,"33","male","right-handed","english","forward","forward language","173.224.109.242","Friday","22/03/2017 14:50","22/03/2017 14:53",1,"single","forward gesture"
"92","Yes","1","Definitely yes","no",13,"22","female","right-handed","English","backward","forward language","72.83.12.78","Friday","23/03/2017 08:43","23/03/2017 08:44",1,"single","backward gesture"
"93","Yes","1","Definitely yes","none",13,"41","female","right-handed","english","backward","backward language","72.24.115.0","Monday","23/03/2017 08:44","23/03/2017 08:45",1,"single","backward gesture"
"94","Yes","2","Definitely yes","No.",13,"31","male","right-handed","English","forward","backward language","74.195.124.158","Monday","23/03/2017 09:01","23/03/2017 09:05",2,"multiple","forward gesture"
"95","Yes","1","Definitely yes",NA,13,"27","female","right-handed","English","forward","forward language","108.254.224.255","Monday","23/03/2017 10:13","23/03/2017 10:14",1,"single","forward gesture"
"96","Yes","1","Definitely yes","It was hard to understand them",13,"29","male","right-handed","English","backward","backward language","73.43.39.221","Monday","23/03/2017 10:14","23/03/2017 10:15",1,"single","backward gesture"
"97","Yes","1","Definitely yes",NA,13,"58","male","left-handed","English","backward","forward language","73.230.123.122","Monday","23/03/2017 10:13","23/03/2017 10:16",1,"single","backward gesture"
"98","Yes","1","Probably yes",NA,13,"31","female","left-handed","english","forward","backward language","24.139.88.182","Monday","23/03/2017 10:14","23/03/2017 10:16",1,"single","forward gesture"
"99","Yes","1","Definitely yes","none",13,"34","male","left-handed","english","forward","forward language","73.224.65.241","Friday","23/03/2017 10:20","23/03/2017 10:21",1,"single","forward gesture"
"100","Yes","2","Definitely yes","N/A",13,"24","male","right-handed","English","forward","backward language","216.15.59.152","Monday","23/03/2017 10:20","23/03/2017 10:22",2,"multiple","forward gesture"
"101","Yes","1","Definitely yes","he was using his hands to gesture",13,"37","female","right-handed","english","forward","forward language","75.182.58.106","Friday","23/03/2017 08:36","23/03/2017 08:37",1,"single","forward gesture"
"102","Yes","1","Definitely yes",NA,13,"31","female","right-handed","English","backward","backward language","173.31.242.168","Monday","23/03/2017 08:37","23/03/2017 08:38",1,"single","backward gesture"
"103","Yes","1","Definitely yes",NA,13,"25","male","right-handed","english","forward","backward language","66.69.128.152","Monday","23/03/2017 08:39","23/03/2017 08:39",1,"single","forward gesture"
"104","Yes","2","Definitely yes",NA,13,"24","female","left-handed","english","forward","backward language","73.67.112.12","Monday","23/03/2017 08:42","23/03/2017 08:43",2,"multiple","forward gesture"
"105","Yes","once","Definitely yes",NA,13,"49","female","right-handed","English","forward","forward language","67.134.55.204","Friday","23/03/2017 09:01","23/03/2017 09:02",1,"single","forward gesture"
"106","Yes","1","Probably yes","no",13,"23","female","right-handed","english","backward","backward language","173.67.141.50","Monday","23/03/2017 10:13","23/03/2017 10:14",1,"single","backward gesture"
"107","Yes","once","Definitely yes","It was a bit confusing due to the hand gesture",13,"39","male","right-handed","English","backward","forward language","199.107.68.203","Monday","24/03/2017 10:27","24/03/2017 10:29",1,"single","backward gesture"
"108","Yes","1","Definitely yes","The gesture was odd enough that it got all my attention. It isn't a usual gesture for backwards. I got the impression that the meeting was initially scheduled on Wednesday, but I can't actually remember if he said that. The instructions said that the initial reaction was desired, so I did not re-watch the video.",13,"29","male","right-handed","English","backward","backward language","136.61.83.179","Monday","24/03/2017 10:26","24/03/2017 10:30",1,"single","backward gesture"
"109","Yes","1","Definitely yes","No",13,"38","female","right-handed","English","backward","forward language","73.163.207.223","Friday","24/03/2017 10:35","24/03/2017 10:36",1,"single","backward gesture"
"110","Yes","1","Definitely yes",NA,13,"43","female","right-handed","English","forward","backward language","173.113.222.62","Monday","24/03/2017 10:36","24/03/2017 10:38",1,"single","forward gesture"
"111","Yes","2","Definitely yes",NA,13,"23","male","right-handed","English","backward","backward language","67.247.147.179","Monday","24/03/2017 10:41","24/03/2017 10:42",2,"multiple","backward gesture"
"112","Yes","1","Probably yes","None",13,"33","female","right-handed","English","forward","forward language","76.25.116.161","Friday","24/03/2017 10:41","24/03/2017 10:42",1,"single","forward gesture"
"113","Yes","1","Definitely yes","They seem confident and organized.",13,"32","male","right-handed","English","backward","forward language","198.147.202.114","Monday","24/03/2017 10:40","24/03/2017 10:42",1,"single","backward gesture"
"114","Yes","1","Definitely yes","Not really, although he asked an interesting question as far as how people will respond.",13,"29","male","right-handed","English","backward","forward language","71.251.200.33","Monday","24/03/2017 10:44","24/03/2017 10:45",1,"single","backward gesture"
"115","Yes","1","Definitely yes","none",13,"33","male","right-handed","English","forward","forward language","24.61.163.0","Monday","24/03/2017 10:28","24/03/2017 10:29",1,"single","forward gesture"
"116","Yes","1","Definitely yes","no",13,"62","male","right-handed","english","forward","forward language","162.138.210.3","Friday","24/03/2017 10:30","24/03/2017 10:32",1,"single","forward gesture"
"117","Yes","3","Definitely yes","Nah",13,"24","male","right-handed","English","backward","backward language","75.132.43.124","Monday","24/03/2017 10:36","24/03/2017 10:37",3,"multiple","backward gesture"
"118","Yes","1","Definitely yes","His accent was funny",13,"24","male","right-handed","English","backward","backward language","70.176.55.47","Monday","24/03/2017 10:27","24/03/2017 10:28",1,"single","backward gesture"
"119","Yes","1","Definitely yes","He seemed like a nice guy/",13,"31","male","right-handed","english","backward","forward language","71.88.107.27","Friday","24/03/2017 10:37","24/03/2017 10:38",1,"single","backward gesture"
"120","Yes","1","Definitely yes","He seems like he wants to be a mentalist.",13,"36","male","right-handed","English","forward","forward language","72.174.173.118","Friday","24/03/2017 10:37","24/03/2017 10:39",1,"single","forward gesture"
"121","Yes","1","Definitely yes","forward 2 days means monday i hope.",13,"37","male","right-handed","english","forward","forward language","74.72.128.92","Monday","24/03/2017 10:42","24/03/2017 10:44",1,"single","forward gesture"
"122","Yes","1","Definitely yes",NA,13,"36","male","right-handed","English","backward","backward language","24.119.10.20","Monday","24/03/2017 10:46","24/03/2017 10:48",1,"single","backward gesture"
"123","Yes","1","Definitely yes","He was a strange fella.",13,"31","male","right-handed","English","forward","forward language","98.212.171.200","Monday","25/03/2017 05:01","25/03/2017 05:02",1,"single","forward gesture"
"124","Yes","twice","Definitely yes","Nope",13,"28","female","left-handed","English","backward","backward language","67.187.231.252","Monday","25/03/2017 05:00","25/03/2017 05:05",2,"multiple","backward gesture"
"125","Yes","3","Definitely yes","I was wondering why the person was speaking and moving his hands and arms so rigidly.",13,"29","male","right-handed","English","backward","forward language","173.28.249.80","Friday","25/03/2017 05:05","25/03/2017 05:07",3,"multiple","backward gesture"
"126","Yes","1","Definitely yes",NA,13,"28","male","right-handed","English","forward","forward language","24.20.124.0","Friday","25/03/2017 05:05","25/03/2017 05:07",1,"single","forward gesture"
"127","Yes","once","Definitely yes","He moved his hand forward when mentioning backwards, made me remember it more.",13,"46","male","right-handed","english","forward","backward language","96.232.116.183","Monday","25/03/2017 05:00","25/03/2017 05:02",1,"single","forward gesture"
"128","Yes","1","Definitely yes","No",13,"30","female","left-handed","english","backward","backward language","50.149.12.46","Monday","25/03/2017 05:01","25/03/2017 05:02",1,"single","backward gesture"
"129","Yes","once","Definitely yes","No",13,"43","male","right-handed","English","forward","backward language","69.250.230.9","Monday","25/03/2017 05:03","25/03/2017 05:05",1,"single","forward gesture"
"130","Yes","1","Definitely yes","No.",13,"66","male","right-handed","English","forward","backward language","162.216.46.102","Monday","25/03/2017 05:08","25/03/2017 05:14",1,"single","forward gesture"
"131","Yes","1","Definitely yes",NA,13,"27","male","right-handed","English","backward","forward language","67.1.119.229","Friday","25/03/2017 11:49","25/03/2017 11:50",1,"single","backward gesture"
"132","Yes","1","Might or might not","No",13,"27","male","right-handed","english","backward","backward language","67.158.18.203","Monday","25/03/2017 11:49","25/03/2017 11:51",1,"single","backward gesture"
"133","Yes","2","Definitely yes",NA,13,"40","female","right-handed","English","backward","forward language","24.90.180.91","Monday","25/03/2017 11:51","25/03/2017 11:52",2,"multiple","backward gesture"
"134","Yes","2","Definitely yes","I noticed that the person gestured toward himself and I thought that meant the meeting was being moved closer.",13,"49","male","right-handed","English","backward","backward language","108.247.115.21","Monday","25/03/2017 12:08","25/03/2017 12:12",2,"multiple","backward gesture"
"135","Yes","1","Definitely yes","I thought it was a bit weird they symbolized ""forward"" by bringing their hand to their chest",13,"26","male","right-handed","English","backward","forward language","71.126.175.21","Monday","25/03/2017 12:16","25/03/2017 12:18",1,"single","backward gesture"
"136","Yes","1","Definitely yes","No thoughts or ideas",13,"32","male","right-handed","English","backward","backward language","216.49.6.16","Friday","25/03/2017 12:16","25/03/2017 12:19",1,"single","backward gesture"
"137","Yes","once","Definitely yes","He used a hand gesture I've never seen before while he was speaking.",13,"40","male","right-handed","English","backward","backward language","68.53.127.112","Monday","25/03/2017 12:21","25/03/2017 12:24",1,"single","backward gesture"
"138","Yes","1","Definitely yes","NO",13,"39","female","right-handed","ENGLISH","forward","backward language","69.147.208.155","Monday","25/03/2017 12:15","25/03/2017 12:17",1,"single","forward gesture"
"139","Yes","1","Definitely yes","Nope.",13,"58","male","right-handed","English","backward","backward language","74.250.171.100","Monday","25/03/2017 12:16","25/03/2017 12:18",1,"single","backward gesture"
"140","Yes","2","Definitely yes","no",13,"35","male","right-handed","english","forward","forward language","24.216.117.178","Monday","25/03/2017 11:49","25/03/2017 11:51",2,"multiple","forward gesture"
"141","Yes","1","Probably not","No",13,"32","female","right-handed","english","forward","forward language","73.129.122.171","Friday","25/03/2017 12:05","25/03/2017 12:06",1,"single","forward gesture"
"142","Yes","1","Definitely yes","No",13,"19","male","right-handed","English","forward","backward language","162.210.112.42","Monday","28/03/2017 03:14","28/03/2017 03:16",1,"single","forward gesture"
"143","Yes","1","Definitely yes",NA,13,"39","male","right-handed","English","forward","forward language","173.168.6.120","Monday","28/03/2017 03:15","28/03/2017 03:16",1,"single","forward gesture"
